adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget
False,"[18, 80]",278,en,The Shawshank Redemption,136.776,1994-09-23,The Shawshank Redemption,8.704,25822,28341469.0,['Castle Rock Entertainment'],25000000.0
False,"[18, 80]",238,en,The Godfather,107.889,1972-03-14,The Godfather,8.695,19602,245066411.0,"['Paramount', 'Alfran Productions']",6000000.0
False,"[18, 80]",240,en,The Godfather Part II,71.355,1974-12-20,The Godfather Part II,8.576,11849,102600000.0,"['Paramount', 'The Coppola Company']",13000000.0
False,"[18, 36, 10752]",424,en,Schindler's List,79.614,1993-12-15,Schindler's List,8.566,15229,321365567.0,['Amblin Entertainment'],22000000.0
False,"[16, 10751, 14]",129,ja,千と千尋の神隠し,120.883,2001-07-20,Spirited Away,8.541,15705,274925095.0,['Studio Ghibli'],19000000.0
False,[18],389,en,12 Angry Men,54.653,1957-04-10,12 Angry Men,8.54,8131,1000000.0,"['United Artists', 'Orion-Nova Productions']",350000.0
False,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,36.258,1995-10-20,Dilwale Dulhania Le Jayenge,8.533,4357,100000000.0,['Yash Raj Films'],13200000.0
False,"[18, 28, 80, 53]",155,en,The Dark Knight,86.553,2008-07-16,The Dark Knight,8.515,31644,1004558444.0,"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",185000000.0
False,"[35, 53, 18]",496243,ko,기생충,90.251,2019-05-30,Parasite,8.511,17301,257591776.0,['Barunson E&A'],11363000.0
False,"[14, 18, 80]",497,en,The Green Mile,86.473,1999-12-10,The Green Mile,8.507,16629,286801374.0,"['Warner Bros. Pictures', 'Universal Pictures', 'Castle Rock Entertainment', 'Darkwoods Productions']",60000000.0
False,"[16, 10749, 18]",372058,ja,君の名は。,83.851,2016-08-26,Your Name.,8.498,10845,358000000.0,"['CoMix Wave Films', 'TOHO', 'KADOKAWA', 'East Japan Marketing & Communications', 'AMUSE', 'voque ting', 'Lawson Entertainment']",0.0
False,"[53, 80]",680,en,Pulp Fiction,108.788,1994-09-10,Pulp Fiction,8.489,26810,213900000.0,"['Miramax', 'A Band Apart', 'Jersey Films']",8500000.0
False,"[12, 14, 28]",122,en,The Lord of the Rings: The Return of the King,118.371,2003-12-01,The Lord of the Rings: The Return of the King,8.478,23174,1118888979.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",94000000.0
False,"[35, 18, 10749]",13,en,Forrest Gump,122.359,1994-06-23,Forrest Gump,8.476,26350,677387716.0,"['Paramount', 'The Steve Tisch Company', 'Wendy Finerman Productions']",55000000.0
False,[37],429,it,"Il buono, il brutto, il cattivo",85.664,1966-12-22,"The Good, the Bad and the Ugly",8.468,8147,38900000.0,"['United Artists', 'PEA', 'Arturo González Producciones Cinematográficas', 'Constantin Film']",1200000.0
False,"[18, 80]",769,en,GoodFellas,60.325,1990-09-12,GoodFellas,8.466,12251,46800000.0,['Winkler Films'],25000000.0
False,"[16, 18, 10752]",12477,ja,火垂るの墓,0.6,1988-04-16,Grave of the Fireflies,8.463,5162,516962.0,['Studio Ghibli'],3700000.0
False,"[18, 10749]",11216,it,Nuovo Cinema Paradiso,35.524,1988-11-17,Cinema Paradiso,8.456,4151,11990401.0,"['RAI', 'Tre Forum', 'Les Films Ariane', 'TF1 Films Production']",5000000.0
False,"[35, 18]",637,it,La vita è bella,49.828,1997-12-20,Life Is Beautiful,8.453,12631,230098753.0,"['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica']",20000000.0
False,"[28, 18]",346,ja,七人の侍,37.904,1954-04-26,Seven Samurai,8.453,3436,346300.0,['TOHO'],2000000.0
False,"[10749, 16]",372754,ja,同級生,15.945,2016-02-20,Dou kyu sei – Classmates,8.445,346,0.0,"['A-1 Pictures', 'Aniplex']",0.0
False,"[28, 12, 16, 18]",704264,en,Primal: Tales of Savagery,16.806,2019-11-21,Primal: Tales of Savagery,8.441,300,0.0,"['Cartoon Network Studios', 'Williams Street']",0.0
False,[18],550,en,Fight Club,91.499,1999-10-15,Fight Club,8.441,28229,100853753.0,"['Fox 2000 Pictures', 'Regency Enterprises', 'The Linson Company', '20th Century Fox', 'Taurus Film']",63000000.0
False,"[27, 53, 9648]",539,en,Psycho,49.705,1960-06-22,Psycho,8.435,9633,32000000.0,['Shamley Productions'],806947.0
False,"[18, 80]",598,pt,Cidade de Deus,57.784,2002-08-30,City of God,8.433,6985,30641770.0,"['O2 Filmes', 'VideoFilmes', 'Wild Bunch', 'Hank Levine Film', 'Globo Filmes', 'Lumière', 'Lei do Audiovisual Ministério da Cultura Audiovisual']",3300000.0
False,"[12, 18, 878]",157336,en,Interstellar,151.226,2014-11-05,Interstellar,8.4,33917,701729206.0,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",165000000.0
False,[18],1058694,en,Radical,71.867,2023-10-19,Radical,8.43,330,21066351.0,"['3Pas Studios', 'Epic', 'The Lift', 'ViX', 'Videocine', 'Pantelion Films', 'Participant']",10000000.0
False,"[10749, 18]",696374,en,Gabriel's Inferno,9.799,2020-05-29,Gabriel's Inferno,8.428,2389,0.0,['PassionFlix'],0.0
False,"[10751, 18]",667257,es,Cosas imposibles,11.643,2021-06-17,Impossible Things,8.427,368,0.0,"['Agencia SHA', 'Alebrije Producciones', 'Videocine']",0.0
False,"[18, 80]",311,en,Once Upon a Time in America,48.053,1984-05-23,Once Upon a Time in America,8.426,5108,5500000.0,"['The Ladd Company', 'Embassy International Pictures', 'Rafran Cinematografica', 'PSO', 'Warner Bros. Pictures']",30000000.0
False,[10402],568332,en,Taylor Swift: Reputation Stadium Tour,18.197,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.423,355,0.0,"['Den of Thieves', 'Taylor Swift Productions']",0.0
False,[18],510,en,One Flew Over the Cuckoo's Nest,45.286,1975-11-19,One Flew Over the Cuckoo's Nest,8.423,10004,108981275.0,"['Fantasy Films', 'United Artists']",3000000.0
False,"[10749, 18]",724089,en,Gabriel's Inferno: Part II,5.678,2020-07-31,Gabriel's Inferno: Part II,8.412,1498,0.0,['PassionFlix'],0.0
False,"[12, 14, 28]",120,en,The Lord of the Rings: The Fellowship of the Ring,123.27,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.411,24106,871368364.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",93000000.0
False,"[14, 16, 12]",4935,ja,ハウルの動く城,105.957,2004-09-09,Howl's Moving Castle,8.409,9302,236049757.0,"['Studio Ghibli', 'dentsu Music And Entertainment', 'Mitsubishi', 'Nippon Television Network Corporation', 'TFC', 'Tokuma Shoten', 'd-rights']",24000000.0
False,"[16, 28, 12, 878]",324857,en,Spider-Man: Into the Spider-Verse,114.361,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,14821,384298736.0,"['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Arad Productions']",90000000.0
False,[18],255709,ko,소원,23.646,2013-10-02,Hope,8.404,637,0.0,"['Lotte Entertainment', 'Film Momentum', 'Michigan Venture Capital']",0.0
False,"[878, 12]",693134,en,Dune: Part Two,736.807,2024-02-27,Dune: Part Two,8.397,2002,509672149.0,['Legendary Pictures'],190000000.0
False,"[35, 18, 14]",40096,pt,O Auto da Compadecida,14.104,2000-09-15,A Dog's Will,8.397,1050,4903192.0,"['Lereby Produções', 'Globo Filmes']",0.0
False,"[10749, 18]",761053,en,Gabriel's Inferno: Part III,23.773,2020-11-19,Gabriel's Inferno: Part III,8.395,1042,0.0,['PassionFlix'],0.0
False,"[12, 14, 28]",121,en,The Lord of the Rings: The Two Towers,106.607,2002-12-18,The Lord of the Rings: The Two Towers,8.393,20953,926287400.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",79000000.0
False,"[12, 28, 878]",1891,en,The Empire Strikes Back,42.061,1980-05-20,The Empire Strikes Back,8.4,16288,538400000.0,['Lucasfilm Ltd.'],18000000.0
False,"[16, 14, 28]",620249,zh,罗小黑战记,25.717,2019-08-27,The Legend of Hei,8.389,330,48045728.0,"['MTJJ', 'Beijing Guangying Gongchang Wenhua Chuanbo', 'Dream Castle', 'Heyi Capital', 'Beijing Hanmu Chunhua Animation Technology', 'Beijing Jiyin Yinghua']",0.0
False,"[16, 18]",378064,ja,映画 聲の形,52.769,2016-09-17,A Silent Voice: The Movie,8.4,3739,30200000.0,"['Kyoto Animation', 'ABC Animation', 'Kodansha', 'Pony Canyon', 'Quaras', 'Shochiku']",0.0
False,"[18, 10402]",244786,en,Whiplash,127.657,2014-10-10,Whiplash,8.383,14453,13092000.0,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",3300000.0
False,"[18, 10752]",423,en,The Pianist,58.672,2002-09-17,The Pianist,8.381,8747,192700000.0,"['Canal+ Polska', 'Bac Films', 'Heritage Films', 'Studio Babelsberg', 'Agencja Produkcji Filmowej', 'FFF Bayern', 'Filmboard Berlin-Brandenburg (FBB)', 'R.P. Productions', 'StudioCanal', 'Canal+', 'TVP', 'Runteam', 'FFA']",35000000.0
False,[10402],1160164,en,TAYLOR SWIFT | THE ERAS TOUR,71.893,2023-10-13,TAYLOR SWIFT | THE ERAS TOUR,8.38,303,261656269.0,"['Taylor Swift Productions', 'Silent House Productions']",15000000.0
False,"[16, 28, 12, 878]",569094,en,Spider-Man: Across the Spider-Verse,208.932,2023-05-31,Spider-Man: Across the Spider-Verse,8.376,6007,690615475.0,"['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions', 'Marvel Entertainment']",100000000.0
False,"[28, 18, 36]",14537,ja,切腹,19.597,1962-09-15,Harakiri,8.377,906,0.0,['Shochiku'],0.0
False,"[80, 9648, 53]",807,en,Se7en,92.488,1995-09-22,Se7en,8.371,20131,327311859.0,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",33000000.0
False,"[28, 878, 12]",27205,en,Inception,147.84,2010-07-15,Inception,8.367,35429,825532764.0,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",160000000.0
False,"[16, 35, 10749]",820067,ja,映画 五等分の花嫁,38.663,2022-05-20,The Quintessential Quintuplets Movie,8.4,354,17288993.0,"['Pony Canyon', 'Nichion', 'Bibury Animation Studios', 'BS11', 'GYAO', 'Kodansha', 'Good Smile Film', 'Bushiroad', 'MAGNET', 'TBS']",0.0
False,"[53, 9648]",567,en,Rear Window,32.915,1954-08-01,Rear Window,8.4,6178,37034514.0,"['Paramount', 'Patron Inc.']",1000000.0
False,"[80, 18, 53]",274,en,The Silence of the Lambs,18.979,1991-02-14,The Silence of the Lambs,8.347,15601,272742922.0,"['Orion Pictures', 'Strong Heart', 'Clinica Estetico', 'A Luta Continua']",19000000.0
False,[18],73,en,American History X,38.094,1998-07-01,American History X,8.346,11106,23900000.0,"['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']",20000000.0
