adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[18, 80]",278,en,136.776,1994-09-23,The Shawshank Redemption,8.704,25822,28341469.0,['Castle Rock Entertainment'],25000000.0,1994,9,2,Fall,0.8820996540440441
False,"[18, 80]",238,en,107.889,1972-03-14,The Godfather,8.695,19602,245066411.0,"['Paramount', 'Alfran Productions']",6000000.0,1972,3,2,Spring,0.024483159383274274
False,"[18, 80]",240,en,71.355,1974-12-20,The Godfather Part II,8.576,11849,102600000.0,"['Paramount', 'The Coppola Company']",13000000.0,1974,12,2,Winter,0.1267056530214425
False,"[18, 36, 10752]",424,en,79.614,1993-12-15,Schindler's List,8.566,15229,321365567.0,['Amblin Entertainment'],22000000.0,1993,12,3,Winter,0.06845786312881491
False,"[16, 10751, 14]",129,ja,120.883,2001-07-20,Spirited Away,8.541,15705,274925095.0,['Studio Ghibli'],19000000.0,2001,7,3,Summer,0.06910973332572641
False,[18],389,en,54.653,1957-04-10,12 Angry Men,8.54,8131,1000000.0,"['United Artists', 'Orion-Nova Productions']",350000.0,1957,4,1,Spring,0.35
False,"[35, 18, 10749]",19404,hi,36.258,1995-10-20,Dilwale Dulhania Le Jayenge,8.533,4357,100000000.0,['Yash Raj Films'],13200000.0,1995,10,3,Fall,0.132
False,"[18, 28, 80, 53]",155,en,86.553,2008-07-16,The Dark Knight,8.515,31644,1004558444.0,"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']",185000000.0,2008,7,4,Summer,0.1841605146071521
False,"[35, 53, 18]",496243,ko,90.251,2019-05-30,Parasite,8.511,17301,257591776.0,['Barunson E&A'],11363000.0,2019,5,3,Spring,0.04411243315469823
False,"[14, 18, 80]",497,en,86.473,1999-12-10,The Green Mile,8.507,16629,286801374.0,"['Warner Bros. Pictures', 'Universal Pictures', 'Castle Rock Entertainment', 'Darkwoods Productions']",60000000.0,1999,12,3,Winter,0.20920401866693986
False,"[53, 80]",680,en,108.788,1994-09-10,Pulp Fiction,8.489,26810,213900000.0,"['Miramax', 'A Band Apart', 'Jersey Films']",8500000.0,1994,9,2,Fall,0.039738195418419824
False,"[12, 14, 28]",122,en,118.371,2003-12-01,The Lord of the Rings: The Return of the King,8.478,23174,1118888979.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",94000000.0,2003,12,3,Winter,0.08401190981790875
False,"[35, 18, 10749]",13,en,122.359,1994-06-23,Forrest Gump,8.476,26350,677387716.0,"['Paramount', 'The Steve Tisch Company', 'Wendy Finerman Productions']",55000000.0,1994,6,3,Summer,0.08119426836491378
False,[37],429,it,85.664,1966-12-22,"The Good, the Bad and the Ugly",8.468,8147,38900000.0,"['United Artists', 'PEA', 'Arturo González Producciones Cinematográficas', 'Constantin Film']",1200000.0,1966,12,1,Winter,0.030848329048843187
False,"[18, 80]",769,en,60.325,1990-09-12,GoodFellas,8.466,12251,46800000.0,['Winkler Films'],25000000.0,1990,9,2,Fall,0.5341880341880342
False,"[16, 18, 10752]",12477,ja,0.6,1988-04-16,Grave of the Fireflies,8.463,5162,516962.0,['Studio Ghibli'],3700000.0,1988,4,3,Spring,7.157199175181154
False,"[18, 10749]",11216,it,35.524,1988-11-17,Cinema Paradiso,8.456,4151,11990401.0,"['RAI', 'Tre Forum', 'Les Films Ariane', 'TF1 Films Production']",5000000.0,1988,11,2,Fall,0.41700023210232917
False,"[35, 18]",637,it,49.828,1997-12-20,Life Is Beautiful,8.453,12631,230098753.0,"['Mario e Vittorio Cecchi Gori - C.E.I.A.D.', 'Melampo Cinematografica']",20000000.0,1997,12,2,Winter,0.08691920203496278
False,"[28, 18]",346,ja,37.904,1954-04-26,Seven Samurai,8.453,3436,346300.0,['TOHO'],2000000.0,1954,4,2,Spring,5.775339301183944
False,[18],550,en,91.499,1999-10-15,Fight Club,8.441,28229,100853753.0,"['Fox 2000 Pictures', 'Regency Enterprises', 'The Linson Company', '20th Century Fox', 'Taurus Film']",63000000.0,1999,10,1,Fall,0.6246668877062017
False,"[27, 53, 9648]",539,en,49.705,1960-06-22,Psycho,8.435,9633,32000000.0,['Shamley Productions'],806947.0,1960,6,3,Summer,0.02521709375
False,"[18, 80]",598,pt,57.784,2002-08-30,City of God,8.433,6985,30641770.0,"['O2 Filmes', 'VideoFilmes', 'Wild Bunch', 'Hank Levine Film', 'Globo Filmes', 'Lumière', 'Lei do Audiovisual Ministério da Cultura Audiovisual']",3300000.0,2002,8,2,Summer,0.10769612851999084
False,"[12, 18, 878]",157336,en,151.226,2014-11-05,Interstellar,8.4,33917,701729206.0,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']",165000000.0,2014,11,3,Fall,0.23513343692866048
False,[18],1058694,en,71.867,2023-10-19,Radical,8.43,330,21066351.0,"['3Pas Studios', 'Epic', 'The Lift', 'ViX', 'Videocine', 'Pantelion Films', 'Participant']",10000000.0,2023,10,1,Fall,0.4746906571527266
False,"[18, 80]",311,en,48.053,1984-05-23,Once Upon a Time in America,8.426,5108,5500000.0,"['The Ladd Company', 'Embassy International Pictures', 'Rafran Cinematografica', 'PSO', 'Warner Bros. Pictures']",30000000.0,1984,5,2,Spring,5.454545454545454
False,[18],510,en,45.286,1975-11-19,One Flew Over the Cuckoo's Nest,8.423,10004,108981275.0,"['Fantasy Films', 'United Artists']",3000000.0,1975,11,1,Fall,0.027527664729560194
False,"[12, 14, 28]",120,en,123.27,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.411,24106,871368364.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",93000000.0,2001,12,3,Winter,0.10672868541277453
False,"[14, 16, 12]",4935,ja,105.957,2004-09-09,Howl's Moving Castle,8.409,9302,236049757.0,"['Studio Ghibli', 'dentsu Music And Entertainment', 'Mitsubishi', 'Nippon Television Network Corporation', 'TFC', 'Tokuma Shoten', 'd-rights']",24000000.0,2004,9,3,Fall,0.1016734789521516
False,"[16, 28, 12, 878]",324857,en,114.361,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,14821,384298736.0,"['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Arad Productions']",90000000.0,2018,12,4,Winter,0.23419280775360135
False,"[878, 12]",693134,en,736.807,2024-02-27,Dune: Part Two,8.397,2002,509672149.0,['Legendary Pictures'],190000000.0,2024,2,2,Winter,0.3727886649737261
False,"[12, 14, 28]",121,en,106.607,2002-12-18,The Lord of the Rings: The Two Towers,8.393,20953,926287400.0,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",79000000.0,2002,12,3,Winter,0.08528670475275817
False,"[12, 28, 878]",1891,en,42.061,1980-05-20,The Empire Strikes Back,8.4,16288,538400000.0,['Lucasfilm Ltd.'],18000000.0,1980,5,3,Spring,0.033432392273402674
False,"[18, 10402]",244786,en,127.657,2014-10-10,Whiplash,8.383,14453,13092000.0,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",3300000.0,2014,10,2,Fall,0.2520623281393217
False,"[18, 10752]",423,en,58.672,2002-09-17,The Pianist,8.381,8747,192700000.0,"['Canal+ Polska', 'Bac Films', 'Heritage Films', 'Studio Babelsberg', 'Agencja Produkcji Filmowej', 'FFF Bayern', 'Filmboard Berlin-Brandenburg (FBB)', 'R.P. Productions', 'StudioCanal', 'Canal+', 'TVP', 'Runteam', 'FFA']",35000000.0,2002,9,2,Fall,0.1816294758692268
False,[10402],1160164,en,71.893,2023-10-13,TAYLOR SWIFT | THE ERAS TOUR,8.38,303,261656269.0,"['Taylor Swift Productions', 'Silent House Productions']",15000000.0,2023,10,1,Fall,0.05732711873224792
False,"[16, 28, 12, 878]",569094,en,208.932,2023-05-31,Spider-Man: Across the Spider-Verse,8.376,6007,690615475.0,"['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions', 'Marvel Entertainment']",100000000.0,2023,5,4,Spring,0.14479837712874882
False,"[80, 9648, 53]",807,en,92.488,1995-09-22,Se7en,8.371,20131,327311859.0,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",33000000.0,1995,9,3,Fall,0.10082127821711465
False,"[28, 878, 12]",27205,en,147.84,2010-07-15,Inception,8.367,35429,825532764.0,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",160000000.0,2010,7,3,Summer,0.19381423364076195
False,"[53, 9648]",567,en,32.915,1954-08-01,Rear Window,8.4,6178,37034514.0,"['Paramount', 'Patron Inc.']",1000000.0,1954,8,2,Summer,0.02700183941930492
False,"[80, 18, 53]",274,en,18.979,1991-02-14,The Silence of the Lambs,8.347,15601,272742922.0,"['Orion Pictures', 'Strong Heart', 'Clinica Estetico', 'A Luta Continua']",19000000.0,1991,2,3,Winter,0.06966266937625608
False,[18],73,en,38.094,1998-07-01,American History X,8.346,11106,23900000.0,"['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']",20000000.0,1998,7,1,Summer,0.8368200836820083
False,"[12, 14, 16]",128,ja,55.752,1997-07-12,Princess Mononoke,8.339,7593,169000000.0,"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",23500000.0,1997,7,3,Summer,0.1390532544378698
False,"[35, 10752]",914,en,28.096,1940-10-15,The Great Dictator,8.3,3177,11000000.0,"['Roy Export Company Establishment', 'United Artists', 'Charles Chaplin Productions']",2000000.0,1940,10,2,Fall,0.18181818181818182
False,"[12, 35, 878]",105,en,73.105,1985-07-03,Back to the Future,8.317,19109,381109762.0,"['Universal Pictures', 'Amblin Entertainment']",19000000.0,1985,7,3,Summer,0.04985440388693061
False,[18],599,en,27.908,1950-08-10,Sunset Boulevard,8.316,2432,5000000.0,['Paramount'],1752000.0,1950,8,1,Summer,0.3504
False,[18],207,en,43.735,1989-06-02,Dead Poets Society,8.314,10705,235900000.0,"['Touchstone Pictures', 'Silver Screen Partners IV', 'A Steven Haft Production', 'Witt/Thomas Productions']",16400000.0,1989,6,1,Summer,0.069520983467571
False,"[80, 18, 28]",101,en,66.182,1994-09-14,Léon: The Professional,8.311,14173,45284974.0,"['Gaumont', 'Les Films du Dauphin', 'Columbia Pictures']",16000000.0,1994,9,3,Fall,0.35331807853086106
False,"[16, 53]",10494,ja,50.279,1998-02-28,Perfect Blue,8.3,2368,112536.0,"['Madhouse', 'Rex Entertainment', 'Kotobuki Seihan Printing', 'Asahi Broadcasting Corporation', 'Fangs Co.']",830000.0,1998,2,2,Winter,7.375417644131655
False,"[35, 18]",3082,en,27.735,1936-02-05,Modern Times,8.294,3529,1800000.0,"['Charles Chaplin Productions', 'United Artists']",1500000.0,1936,2,2,Winter,0.8333333333333334
