adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[10749, 16]",372754,ja,15.945,2016-02-20,Dou kyu sei – Classmates,8.445,346,0.0,"['A-1 Pictures', 'Aniplex']",0.0,2016,2,2,Winter,
False,"[28, 12, 16, 18]",704264,en,16.806,2019-11-21,Primal: Tales of Savagery,8.441,300,0.0,"['Cartoon Network Studios', 'Williams Street']",0.0,2019,11,4,Fall,
False,"[10749, 18]",696374,en,9.799,2020-05-29,Gabriel's Inferno,8.428,2389,0.0,['PassionFlix'],0.0,2020,5,2,Spring,
False,"[10751, 18]",667257,es,11.643,2021-06-17,Impossible Things,8.427,368,0.0,"['Agencia SHA', 'Alebrije Producciones', 'Videocine']",0.0,2021,6,2,Summer,
False,[10402],568332,en,18.197,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.423,355,0.0,"['Den of Thieves', 'Taylor Swift Productions']",0.0,2018,12,1,Winter,
False,"[10749, 18]",724089,en,5.678,2020-07-31,Gabriel's Inferno: Part II,8.412,1498,0.0,['PassionFlix'],0.0,2020,7,2,Summer,
False,[18],255709,ko,23.646,2013-10-02,Hope,8.404,637,0.0,"['Lotte Entertainment', 'Film Momentum', 'Michigan Venture Capital']",0.0,2013,10,1,Fall,
False,"[10749, 18]",761053,en,23.773,2020-11-19,Gabriel's Inferno: Part III,8.395,1042,0.0,['PassionFlix'],0.0,2020,11,2,Fall,
False,"[28, 18, 36]",14537,ja,19.597,1962-09-15,Harakiri,8.377,906,0.0,['Shochiku'],0.0,1962,9,3,Fall,
False,"[10749, 16, 14]",92321,ja,0.6,2011-09-17,Hotarubi no Mori e,8.333,1045,0.0,"[""Brain's Base""]",0.0,2011,9,3,Fall,
False,"[16, 10751, 14, 35]",1139087,en,53.708,2023-09-24,Once Upon a Studio,8.313,313,0.0,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",0.0,2023,9,4,Fall,
False,"[18, 80, 53]",12493,ja,31.06,1963-03-01,High and Low,8.299,810,0.0,"['TOHO', 'Kurosawa Production']",250000.0,1963,3,3,Spring,inf
False,"[16, 18, 10749]",652837,ja,34.392,2020-12-25,"Josee, the Tiger and the Fish",8.282,417,0.0,"['BONES', 'KADOKAWA', 'Shochiku', 'East Japan Marketing & Communications', ""TOY'S FACTORY"", 'KDDI', 'Movie Walker', 'TBS Radio', 'Sonilude']",0.0,2020,12,3,Winter,
False,"[18, 53]",16672,ja,38.401,1964-02-15,Woman in the Dunes,8.28,382,0.0,['Teshigahara Productions'],0.0,1964,2,2,Winter,
False,"[18, 10749]",447362,en,50.329,2020-11-27,Life in a Year,8.3,1735,0.0,"['Columbia Pictures', 'Overbrook Entertainment']",0.0,2020,11,2,Fall,
False,"[16, 10751, 12, 14]",995133,en,46.788,2022-12-25,"The Boy, the Mole, the Fox and the Horse",8.277,482,0.0,"['NoneMore Productions', 'Bad Robot', 'BBC']",0.0,2022,12,4,Winter,
False,"[16, 18, 10402, 10749]",632632,ja,18.348,2020-08-22,Given,8.273,372,0.0,['Lerche'],0.0,2020,8,4,Summer,
False,"[10402, 18, 10749]",630566,en,19.98,2020-10-09,Clouds,8.258,978,0.0,"['Warner Bros. Pictures', 'Mad Chance', 'La Scala Films', 'Wayfarer Studios']",0.0,2020,10,3,Fall,
False,"[16, 10751, 12, 35, 14]",508965,en,29.714,2019-11-08,Klaus,8.2,3823,0.0,"['Atresmedia', 'The SPA Studios']",0.0,2019,11,5,Fall,
False,"[18, 35]",42269,it,16.357,1974-12-21,We All Loved Each Other So Much,8.244,505,0.0,['Deantir'],0.0,1974,12,2,Winter,
False,"[16, 28, 878]",618344,en,32.872,2020-05-05,Justice League Dark: Apokolips War,8.243,1399,0.0,"['Warner Bros. Animation', 'DC Entertainment']",0.0,2020,5,3,Spring,
False,"[16, 35, 10749, 18, 14]",572154,ja,33.913,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.2,493,0.0,"['CloverWorks', 'Aniplex', 'ABC Animation', 'KADOKAWA', 'Tokyo MX', 'Nagoya Broadcasting Network', 'BS11', 'Hakuhodo DY Music & Pictures']",0.0,2019,6,5,Summer,
False,"[35, 18, 10402]",654299,es,12.094,2019-12-24,Out of the Clear Blue Sky,8.218,331,0.0,"['Esparza Caldera', 'La Victoria Films']",0.0,2019,12,3,Winter,
False,"[35, 18, 10749]",20334,en,26.897,1940-01-12,The Shop Around the Corner,8.213,674,0.0,['Metro-Goldwyn-Mayer'],0.0,1940,1,3,Winter,
False,"[10770, 16, 12, 35, 14, 10402]",537061,en,31.486,2019-09-02,Steven Universe: The Movie,8.205,803,0.0,"['Cartoon Network Studios', 'Cartoon Network Studios']",0.0,2019,9,6,Fall,
False,"[36, 18]",556574,en,21.585,2020-07-03,Hamilton,8.203,1300,0.0,"['RadicalMedia', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore']",0.0,2020,7,2,Summer,
False,"[18, 35]",24188,it,12.943,1962-12-05,Il Sorpasso,8.2,671,0.0,"['Fair Film', 'Incei Film', 'Sancro Film']",0.0,1962,12,2,Winter,
False,[18],797,sv,22.594,1966-10-18,Persona,8.196,2013,0.0,['SF Studios'],0.0,1966,10,1,Fall,
False,"[14, 18]",490,sv,25.714,1957-02-16,The Seventh Seal,8.195,2806,0.0,['SF Studios'],0.0,1957,2,2,Winter,
False,"[10749, 18]",851644,ko,84.937,2022-10-06,20th Century Girl,8.192,590,0.0,"['Yong Film Inc.', 'CJ ENM Studios']",119.0,2022,10,2,Fall,inf
False,"[18, 53]",26451,it,12.114,1970-10-16,Investigation of a Citizen Above Suspicion,8.186,733,0.0,['Vera Film'],0.0,1970,10,2,Fall,
False,"[27, 10402, 9648]",92060,en,15.248,1983-11-14,Michael Jackson's Thriller,8.18,637,0.0,['Optimum Productions'],1100000.0,1983,11,3,Fall,inf
False,"[878, 18]",1398,ru,24.459,1979-05-25,Stalker,8.172,1991,0.0,['Mosfilm'],120000.0,1979,5,2,Spring,inf
False,"[18, 10749]",133919,sv,15.721,1974-09-15,Scenes from a Marriage,8.171,320,0.0,['Cinematograph AB'],150000.0,1974,9,2,Fall,inf
