adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[16, 10749, 18]",372058,ja,83.851,2016-08-26,Your Name.,8.498,10845,358000000.0,"['CoMix Wave Films', 'TOHO', 'KADOKAWA', 'East Japan Marketing & Communications', 'AMUSE', 'voque ting', 'Lawson Entertainment']",0.0,2016,8,3,Summer,0.0
False,"[10749, 16]",372754,ja,15.945,2016-02-20,Dou kyu sei – Classmates,8.445,346,0.0,"['A-1 Pictures', 'Aniplex']",0.0,2016,2,2,Winter,
False,"[28, 12, 16, 18]",704264,en,16.806,2019-11-21,Primal: Tales of Savagery,8.441,300,0.0,"['Cartoon Network Studios', 'Williams Street']",0.0,2019,11,4,Fall,
False,"[10749, 18]",696374,en,9.799,2020-05-29,Gabriel's Inferno,8.428,2389,0.0,['PassionFlix'],0.0,2020,5,2,Spring,
False,"[10751, 18]",667257,es,11.643,2021-06-17,Impossible Things,8.427,368,0.0,"['Agencia SHA', 'Alebrije Producciones', 'Videocine']",0.0,2021,6,2,Summer,
False,[10402],568332,en,18.197,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.423,355,0.0,"['Den of Thieves', 'Taylor Swift Productions']",0.0,2018,12,1,Winter,
False,"[10749, 18]",724089,en,5.678,2020-07-31,Gabriel's Inferno: Part II,8.412,1498,0.0,['PassionFlix'],0.0,2020,7,2,Summer,
False,[18],255709,ko,23.646,2013-10-02,Hope,8.404,637,0.0,"['Lotte Entertainment', 'Film Momentum', 'Michigan Venture Capital']",0.0,2013,10,1,Fall,
False,"[35, 18, 14]",40096,pt,14.104,2000-09-15,A Dog's Will,8.397,1050,4903192.0,"['Lereby Produções', 'Globo Filmes']",0.0,2000,9,3,Fall,0.0
False,"[10749, 18]",761053,en,23.773,2020-11-19,Gabriel's Inferno: Part III,8.395,1042,0.0,['PassionFlix'],0.0,2020,11,2,Fall,
False,"[16, 14, 28]",620249,zh,25.717,2019-08-27,The Legend of Hei,8.389,330,48045728.0,"['MTJJ', 'Beijing Guangying Gongchang Wenhua Chuanbo', 'Dream Castle', 'Heyi Capital', 'Beijing Hanmu Chunhua Animation Technology', 'Beijing Jiyin Yinghua']",0.0,2019,8,3,Summer,0.0
False,"[16, 18]",378064,ja,52.769,2016-09-17,A Silent Voice: The Movie,8.4,3739,30200000.0,"['Kyoto Animation', 'ABC Animation', 'Kodansha', 'Pony Canyon', 'Quaras', 'Shochiku']",0.0,2016,9,2,Fall,0.0
False,"[28, 18, 36]",14537,ja,19.597,1962-09-15,Harakiri,8.377,906,0.0,['Shochiku'],0.0,1962,9,3,Fall,
False,"[16, 35, 10749]",820067,ja,38.663,2022-05-20,The Quintessential Quintuplets Movie,8.4,354,17288993.0,"['Pony Canyon', 'Nichion', 'Bibury Animation Studios', 'BS11', 'GYAO', 'Kodansha', 'Good Smile Film', 'Bushiroad', 'MAGNET', 'TBS']",0.0,2022,5,3,Spring,0.0
False,"[10749, 16, 14]",92321,ja,0.6,2011-09-17,Hotarubi no Mori e,8.333,1045,0.0,"[""Brain's Base""]",0.0,2011,9,3,Fall,
False,"[18, 35]",644479,es,10.976,2019-11-01,Dedicated to my ex,8.32,494,1315376.0,"['Touché Films', 'Dynamo']",0.0,2019,11,2,Fall,0.0
False,"[16, 878, 28, 18]",18491,ja,75.404,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.3,1472,19000000.0,"['GAINAX', 'movic', 'Star Child Recording', 'TV Tokyo', 'Production I.G', 'KADOKAWA Shoten', 'Toei Company', 'SEGA']",0.0,1997,7,4,Summer,0.0
False,"[16, 10751, 14, 35]",1139087,en,53.708,2023-09-24,Once Upon a Studio,8.313,313,0.0,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",0.0,2023,9,4,Fall,
False,[18],3782,ja,20.284,1952-10-09,Ikiru,8.301,1039,55240.0,['TOHO'],0.0,1952,10,1,Fall,0.0
False,"[18, 80, 53]",12493,ja,31.06,1963-03-01,High and Low,8.299,810,0.0,"['TOHO', 'Kurosawa Production']",250000.0,1963,3,3,Spring,inf
False,"[16, 18, 10749]",652837,ja,34.392,2020-12-25,"Josee, the Tiger and the Fish",8.282,417,0.0,"['BONES', 'KADOKAWA', 'Shochiku', 'East Japan Marketing & Communications', ""TOY'S FACTORY"", 'KDDI', 'Movie Walker', 'TBS Radio', 'Sonilude']",0.0,2020,12,3,Winter,
False,"[18, 53, 80]",29259,fr,16.22,1960-03-18,Le Trou,8.3,431,33187.0,"['Titanus', 'Filmsonor', 'Play Art']",0.0,1960,3,3,Spring,0.0
False,"[18, 53]",16672,ja,38.401,1964-02-15,Woman in the Dunes,8.28,382,0.0,['Teshigahara Productions'],0.0,1964,2,2,Winter,
False,"[18, 10749]",447362,en,50.329,2020-11-27,Life in a Year,8.3,1735,0.0,"['Columbia Pictures', 'Overbrook Entertainment']",0.0,2020,11,2,Fall,
False,"[16, 10751, 12, 14]",995133,en,46.788,2022-12-25,"The Boy, the Mole, the Fox and the Horse",8.277,482,0.0,"['NoneMore Productions', 'Bad Robot', 'BBC']",0.0,2022,12,4,Winter,
False,"[16, 18, 10402, 10749]",632632,ja,18.348,2020-08-22,Given,8.273,372,0.0,['Lerche'],0.0,2020,8,4,Summer,
False,"[18, 10752]",25237,ru,30.031,1985-10-17,Come and See,8.268,1332,168817.0,"['Belarusfilm', 'Mosfilm']",0.0,1985,10,2,Fall,0.0
False,"[16, 14, 10749, 18]",533514,ja,39.14,2020-09-18,Violet Evergarden: The Movie,8.26,384,20339624.0,"['Kyoto Animation', 'ABC Animation', 'Pony Canyon', 'Bandai Namco Arts', 'Lantis', 'Heart Company', 'Miracle Bus']",0.0,2020,9,4,Fall,0.0
False,"[10402, 18, 10749]",630566,en,19.98,2020-10-09,Clouds,8.258,978,0.0,"['Warner Bros. Pictures', 'Mad Chance', 'La Scala Films', 'Wayfarer Studios']",0.0,2020,10,3,Fall,
False,"[16, 10751, 12, 35, 14]",508965,en,29.714,2019-11-08,Klaus,8.2,3823,0.0,"['Atresmedia', 'The SPA Studios']",0.0,2019,11,5,Fall,
False,"[18, 35]",42269,it,16.357,1974-12-21,We All Loved Each Other So Much,8.244,505,0.0,['Deantir'],0.0,1974,12,2,Winter,
False,"[16, 28, 878]",618344,en,32.872,2020-05-05,Justice League Dark: Apokolips War,8.243,1399,0.0,"['Warner Bros. Animation', 'DC Entertainment']",0.0,2020,5,3,Spring,
False,"[16, 35, 10749, 18, 14]",572154,ja,33.913,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.2,493,0.0,"['CloverWorks', 'Aniplex', 'ABC Animation', 'KADOKAWA', 'Tokyo MX', 'Nagoya Broadcasting Network', 'BS11', 'Hakuhodo DY Music & Pictures']",0.0,2019,6,5,Summer,
False,"[16, 18, 10749]",504253,ja,52.216,2018-09-01,I Want to Eat Your Pancreas,8.235,1449,33748006.0,"['ABC Animation', 'Aniplex', 'East Japan Marketing & Communications', 'Futabasha', 'Studio VOLN', 'Tohan', 'The Asahi Shimbun']",0.0,2018,9,3,Fall,0.0
False,"[16, 10751, 18, 14]",110420,ja,26.886,2012-07-21,Wolf Children,8.219,2179,55060661.0,"['Studio Chizu', 'Madhouse', 'Nippon Television Network Corporation', 'KADOKAWA Shoten', 'VAP', 'D.N. Dream Partners', 'Yomiuri Telecasting Corporation', 'TOHO']",0.0,2012,7,4,Summer,0.0
False,"[35, 18, 10402]",654299,es,12.094,2019-12-24,Out of the Clear Blue Sky,8.218,331,0.0,"['Esparza Caldera', 'La Victoria Films']",0.0,2019,12,3,Winter,
False,"[35, 18, 10749]",20334,en,26.897,1940-01-12,The Shop Around the Corner,8.213,674,0.0,['Metro-Goldwyn-Mayer'],0.0,1940,1,3,Winter,
False,"[16, 28, 14]",810693,ja,85.51,2021-12-24,Jujutsu Kaisen 0,8.2,1245,195870885.0,"['MAPPA', 'Shueisha', 'Sumzap', 'MBS', 'TOHO']",0.0,2021,12,3,Winter,0.0
False,"[10770, 16, 12, 35, 14, 10402]",537061,en,31.486,2019-09-02,Steven Universe: The Movie,8.205,803,0.0,"['Cartoon Network Studios', 'Cartoon Network Studios']",0.0,2019,9,6,Fall,
False,"[36, 18]",556574,en,21.585,2020-07-03,Hamilton,8.203,1300,0.0,"['RadicalMedia', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore']",0.0,2020,7,2,Summer,
False,"[18, 35]",24188,it,12.943,1962-12-05,Il Sorpasso,8.2,671,0.0,"['Fair Film', 'Incei Film', 'Sancro Film']",0.0,1962,12,2,Winter,
False,"[18, 14, 16]",610892,ja,37.538,2019-09-06,Violet Evergarden: Eternity and the Auto Memory Doll,8.198,339,10841702.0,"['Kyoto Animation', 'Pony Canyon', 'ABC Animation', 'Bandai Namco Arts']",0.0,2019,9,3,Fall,0.0
False,[18],797,sv,22.594,1966-10-18,Persona,8.196,2013,0.0,['SF Studios'],0.0,1966,10,1,Fall,
False,"[14, 18]",490,sv,25.714,1957-02-16,The Seventh Seal,8.195,2806,0.0,['SF Studios'],0.0,1957,2,2,Winter,
False,"[10749, 18]",851644,ko,84.937,2022-10-06,20th Century Girl,8.192,590,0.0,"['Yong Film Inc.', 'CJ ENM Studios']",119.0,2022,10,2,Fall,inf
False,"[18, 53]",26451,it,12.114,1970-10-16,Investigation of a Citizen Above Suspicion,8.186,733,0.0,['Vera Film'],0.0,1970,10,2,Fall,
False,"[16, 28, 14, 12]",592350,ja,36.889,2019-12-20,My Hero Academia: Heroes Rising,8.183,1109,29900000.0,"['BONES', 'dentsu', 'movic', 'Nippon Television Network Corporation', 'Shueisha', 'Sony Music Entertainment', 'Yomiuri Telecasting Corporation', 'TOHO', 'TOHO MUSIC']",0.0,2019,12,4,Winter,0.0
False,"[878, 12]",313106,en,17.668,2013-11-23,Doctor Who: The Day of the Doctor,8.183,723,10000000.0,['BBC Cymru Wales'],0.0,2013,11,2,Fall,0.0
False,"[27, 10402, 9648]",92060,en,15.248,1983-11-14,Michael Jackson's Thriller,8.18,637,0.0,['Optimum Productions'],1100000.0,1983,11,3,Fall,inf
False,"[18, 10752]",20941,es,18.684,2005-01-28,Innocent Voices,8.18,449,837000.0,"['Santo Domingo Films', 'Altavista Films', 'MUVI Films', 'Lawrence Bender Productions', 'Organización Santo Domingo', 'A Band Apart', 'Lions Gate Films']",0.0,2005,1,2,Winter,0.0
False,"[12, 16, 18, 10751, 14, 10749]",476292,ja,51.779,2018-02-24,Maquia: When the Promised Flower Blooms,8.178,589,4300000.0,"['P.A.WORKS', 'Bandai Visual', 'Hakuhodo DY Music & Pictures', 'Lantis', 'Cygames']",0.0,2018,2,6,Winter,0.0
False,[18],575813,zh,22.141,2019-10-25,Better Days,8.177,390,225879065.0,"['Shooting Pictures', 'China Wit Media', 'Tianijn Xiron Entertainment', 'We Pictures', 'Goodfellas Media', 'He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan', 'Fat Kids Production']",0.0,2019,10,1,Fall,0.0
False,"[878, 18]",1398,ru,24.459,1979-05-25,Stalker,8.172,1991,0.0,['Mosfilm'],120000.0,1979,5,2,Spring,inf
False,"[18, 10749]",133919,sv,15.721,1974-09-15,Scenes from a Marriage,8.171,320,0.0,['Cinematograph AB'],150000.0,1974,9,2,Fall,inf
False,[18],422,it,24.333,1963-02-14,8½,8.168,2152,0.0,"['Cineriz', 'Francinex']",0.0,1963,2,1,Winter,
False,"[28, 12, 14]",791373,en,85.346,2021-03-18,Zack Snyder's Justice League,8.165,9601,0.0,"['Warner Bros. Pictures', 'The Stone Quarry', 'Atlas Entertainment', 'Access Entertainment', 'Dune Entertainment', 'DC Films']",70000000.0,2021,3,3,Spring,inf
False,[18],18148,ja,25.462,1953-11-03,Tokyo Story,8.164,978,0.0,['Shochiku'],0.0,1953,11,1,Fall,
False,"[12, 10751]",606856,en,23.119,2019-12-20,Togo,8.2,1917,0.0,['Walt Disney Pictures'],0.0,2019,12,2,Winter,
False,"[10751, 16]",399106,en,14.648,2016-06-16,Piper,8.152,1562,0.0,"['Pixar', 'Walt Disney Pictures']",0.0,2016,6,2,Summer,
False,"[10749, 18]",762975,en,41.446,2022-07-29,Purple Hearts,8.146,2301,0.0,"['Alloy Entertainment', 'Embankment Films', 'Gidden Media']",0.0,2022,7,2,Summer,
False,"[18, 35, 10752]",55823,it,11.241,1959-10-28,The Great War,8.142,328,0.0,"['gray-film', 'DDL Cinematografica']",0.0,1959,10,3,Fall,
False,[35],20914,it,11.509,1975-10-24,My Friends,8.137,673,0.0,"['RPA Cinematografica', 'Rizzoli Film']",0.0,1975,10,1,Fall,
False,"[16, 10770, 14, 28]",755812,fr,32.914,2020-09-25,"Miraculous World: New York, United HeroeZ",8.136,1055,0.0,"['Zagtoon', 'Method Animation', 'SAMG Animation', 'TF1', 'Gloob', 'Norman Studio', 'Télé-Québec', 'The Walt Disney Company EMEA', 'Morena Films', 'Toei Animation']",0.0,2020,9,4,Fall,
False,[18],458220,en,33.116,2021-01-28,Palmer,8.13,1432,0.0,"['SK Global Entertainment', 'Sidney Kimmel Entertainment']",0.0,2021,1,1,Winter,
False,[18],614,sv,20.652,1957-12-26,Wild Strawberries,8.126,1531,0.0,['SF Studios'],0.0,1957,12,1,Winter,
False,"[16, 14, 18, 10751]",555604,en,39.837,2022-10-22,Guillermo del Toro's Pinocchio,8.121,2703,0.0,"['The Jim Henson Company', 'ShadowMachine', 'Double Dare You Productions']",35000000.0,2022,10,4,Fall,inf
False,"[35, 18]",439,it,26.708,1960-02-05,La Dolce Vita,8.12,1744,19647000.0,"['Cinecittà Studios', 'Pathé Consortium Cinéma', 'Riama Film']",0.0,1960,2,2,Winter,0.0
False,[35],38288,it,4.584,1996-03-29,I corti,8.117,341,0.0,['A.Gi.Di.'],0.0,1996,3,1,Spring,
False,[18],20532,ja,13.272,1954-03-31,Sansho the Bailiff,8.112,345,0.0,['Daiei Film'],0.0,1954,3,1,Spring,
False,"[16, 28, 14]",663558,zh,30.303,2021-02-06,New Gods: Nezha Reborn,8.111,393,0.0,"['bilibili', 'Alibaba Pictures Group', 'Light Chaser Animation Studios']",0.0,2021,2,3,Winter,
False,"[16, 28, 14]",664767,en,67.153,2020-04-12,Mortal Kombat Legends: Scorpion's Revenge,8.108,1337,0.0,['Warner Bros. Animation'],0.0,2020,4,3,Spring,
False,"[16, 12, 35, 14]",532067,ja,39.117,2019-08-30,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8.107,507,0.0,"['J.C.STAFF', 'KADOKAWA', 'Sammy', 'Nippon Columbia', 'Sony Music Entertainment', 'MAGES.', 'KADOKAWA Media House', '81 Produce', 'Toranoana']",0.0,2019,8,4,Summer,
False,"[18, 53]",11878,ja,27.735,1961-04-25,Yojimbo,8.099,1338,0.0,['TOHO'],0.0,1961,4,2,Spring,
False,"[18, 10749]",2457,fr,10.78,1945-03-15,Children of Paradise,8.091,380,1457.0,['Société Nouvelle Pathé Cinéma'],0.0,1945,3,2,Spring,0.0
False,"[35, 18]",823754,en,16.006,2021-07-22,Bo Burnham: Inside,8.09,435,0.0,[],0.0,2021,7,2,Summer,
False,"[18, 53, 80]",832,de,21.698,1931-05-11,M,8.09,2033,35274.0,['Nero-Film AG'],0.0,1931,5,3,Spring,0.0
False,"[35, 80]",24382,it,10.47,1958-07-26,Big Deal on Madonna Street,8.1,671,0.0,"['Lux Film', 'Vides Cinematografica']",0.0,1958,7,2,Summer,
False,"[18, 10752, 36]",472454,tr,23.555,2017-10-27,Ayla: The Daughter of War,8.086,344,0.0,['Dijital Sanatlar'],4172781.0,2017,10,3,Fall,inf
False,"[35, 10402]",400608,en,10.514,2016-06-03,Bo Burnham: Make Happy,8.084,358,0.0,"['Attic Bedroom', '3 Arts Entertainment']",0.0,2016,6,2,Summer,
False,[18],3780,ja,25.81,1965-04-03,Red Beard,8.081,321,0.0,"['TOHO', 'Kurosawa Production']",0.0,1965,4,1,Spring,
False,"[28, 35, 9648]",992,en,16.859,1924-04-17,Sherlock Jr.,8.081,912,0.0,['Metro Pictures Corporation'],0.0,1924,4,3,Spring,
False,"[18, 10770]",550776,en,26.841,2018-09-30,Believe Me: The Abduction of Lisa McVey,8.073,588,0.0,['Cineflix Productions'],0.0,2018,9,2,Fall,
False,"[18, 36]",906126,es,123.36,2023-12-15,Society of the Snow,8.068,2313,0.0,"['El Arriero Films', 'Misión de Audaces Films', 'Netflix']",65500000.0,2023,12,2,Winter,inf
False,"[16, 10751]",831827,en,15.506,2021-11-24,Far from the Tree,8.1,354,0.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",0.0,2021,11,2,Fall,
False,"[18, 36, 10770]",21634,en,20.157,2009-01-24,Prayers for Bobby,8.062,552,0.0,"['Once Upon a Time Films', 'Sladek Taaffe Productions', 'Permut Presentations']",0.0,2009,1,3,Winter,
